,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches 
0,1,Sage,0.78, 11.2  /  14.4  /  6.1 ,49.6%,13.9%,164,0.1%,"7,181"
1,2,Reyna,0.98, 14.5  /  14.8  /  4.4 ,47.9%,10.5%,213,0.1%,"5,439"
2,3,Raze,0.9, 13.3  /  14.8  /  4.5 ,47.4%,7.4%,203,0.1%,"3,837"
3,4,Jett,0.91, 13.5  /  14.9  /  3.7 ,48.4%,6.6%,199,0.1%,"3,420"
4,5,Omen,0.88, 13  /  14.8  /  4.9 ,49.2%,6.5%,187,0.1%,"3,347"
5,6,Killjoy,0.85, 11.8  /  13.8  /  4.2 ,51.7%,5.4%,177,0.2%,"2,793"
6,7,Fade,0.76, 11.3  /  14.9  /  5.8 ,45.6%,5.2%,168,0.1%,"2,699"
7,8,Yoru,0.84, 12.6  /  15  /  4.1 ,45.8%,4.9%,183,0.1%,"2,544"
8,9,Phoenix,0.91, 13.4  /  14.7  /  4.2 ,46.5%,4.7%,199,0.1%,"2,436"
9,10,Sova,0.83, 12.1  /  14.5  /  4.7 ,48.5%,4.5%,176,0.1%,"2,336"
10,11,Neon,0.85, 12.9  /  15.2  /  3.9 ,47.1%,4.4%,191,0.1%,"2,293"
11,12,Brimstone,0.86, 12.3  /  14.3  /  6 ,48.8%,3.9%,185,0.1%,"2,023"
12,13,Viper,0.81, 11.7  /  14.4  /  4.8 ,49.1%,3.8%,175,0.1%,"1,980"
13,14,Skye,0.8, 11.5  /  14.4  /  6.7 ,51.8%,3.5%,172,0.1%,"1,808"
14,15,Gekko,0.83, 12.1  /  14.6  /  4.7 ,51.8%,3.3%,176,0.1%,"1,714"
15,16,KAY/O,0.78, 11.7  /  15  /  7.5 ,47.1%,3.2%,177,0.1%,"1,655"
16,17,Cypher,0.89, 12.7  /  14.2  /  4.9 ,49.9%,2.9%,182,0.2%,"1,508"
17,18,Chamber,0.88, 12.8  /  14.6  /  3.5 ,45.2%,2.1%,184,0.1%,"1,101"
18,19,Breach,0.8, 12  /  15  /  5.2 ,51.0%,1.4%,177,0.1%,724
19,20,Harbor,0.8, 11.9  /  14.8  /  5.2 ,49.7%,1.0%,173,0.1%,537
20,21,Astra,0.93, 13  /  14  /  5 ,47.1%,0.7%,187,0.2%,359
