,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches 
0,1,Raze,1.05, 17  /  16.2  /  4.8 ,49.5%,13.3%,243,0.1%,"395,642"
1,2,Jett,1.08, 17.4  /  16.1  /  3.5 ,48.4%,11.6%,236,0.1%,"344,439"
2,3,Skye,0.97, 14.6  /  15.1  /  7.7 ,49.5%,11.0%,199,0.1%,"326,300"
3,4,Brimstone,0.99, 14.8  /  15  /  8.5 ,50.5%,10.9%,205,0.1%,"323,916"
4,5,Reyna,1.14, 17.9  /  15.7  /  4.2 ,50.0%,7.7%,242,0.1%,"229,738"
5,6,Cypher,0.99, 14.6  /  14.7  /  4.6 ,48.1%,6.1%,195,0.1%,"181,222"
6,7,Sage,0.95, 14.2  /  14.9  /  6.9 ,51.4%,5.7%,193,0.1%,"170,645"
7,8,Omen,0.97, 14.9  /  15.3  /  7.5 ,47.1%,5.1%,203,0.1%,"151,022"
8,9,Killjoy,1, 14.4  /  14.4  /  3.4 ,49.1%,5.0%,196,0.1%,"147,488"
9,10,Chamber,1.08, 16.2  /  15  /  2.7 ,48.1%,4.7%,215,0.1%,"139,841"
10,11,Sova,1.02, 15  /  14.7  /  5.8 ,49.1%,3.9%,206,0.1%,"116,056"
11,12,Fade,0.97, 14.7  /  15.1  /  6.5 ,48.8%,2.7%,200,0.1%,"78,841"
12,13,Phoenix,1.11, 17.4  /  15.6  /  4.5 ,50.2%,2.2%,239,0.1%,"66,033"
13,14,Viper,1.04, 15.5  /  14.9  /  5.7 ,49.0%,2.1%,212,0.1%,"61,491"
14,15,Gekko,0.95, 14.5  /  15.2  /  4.7 ,48.4%,1.8%,194,0.1%,"53,424"
15,16,Astra,1.03, 15.3  /  14.8  /  6.7 ,48.0%,1.5%,206,0.1%,"44,065"
16,17,KAY/O,0.93, 14.5  /  15.7  /  9 ,43.9%,1.3%,204,0.1%,"38,358"
17,18,Yoru,1.05, 16.7  /  15.9  /  4.4 ,48.4%,1.3%,228,0.1%,"38,124"
18,19,Breach,0.94, 14.5  /  15.5  /  7 ,46.7%,1.0%,199,0.1%,"30,925"
19,20,Harbor,0.92, 14.2  /  15.4  /  6.1 ,43.2%,0.6%,192,0.1%,"17,297"
20,21,Neon,0.96, 15.9  /  16.5  /  4 ,45.9%,0.5%,219,0.1%,"13,680"
