,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches 
0,1,Jett,1.1, 17.4  /  15.9  /  3.8 ,49.1%,12.1%,240,0.1%,"667,941"
1,2,Brimstone,0.99, 14.6  /  14.8  /  8.8 ,51.1%,11.0%,206,0.1%,"609,767"
2,3,Reyna,1.15, 17.8  /  15.5  /  4.5 ,50.0%,9.8%,246,0.1%,"543,612"
3,4,Breach,0.94, 14.3  /  15.3  /  7 ,48.9%,9.4%,198,0.1%,"518,950"
4,5,Killjoy,1.01, 14.4  /  14.4  /  3.9 ,50.2%,8.1%,200,0.1%,"446,443"
5,6,Raze,1.05, 16.6  /  15.8  /  4.7 ,49.2%,6.8%,237,0.1%,"375,843"
6,7,Sage,0.92, 13.6  /  14.9  /  7 ,49.8%,6.2%,189,0.1%,"344,759"
7,8,Cypher,1, 14.7  /  14.7  /  4.8 ,48.8%,4.2%,200,0.1%,"232,195"
8,9,Skye,0.94, 14.2  /  15.1  /  7.4 ,49.2%,4.1%,196,0.1%,"225,184"
9,10,Chamber,1.08, 16.3  /  15  /  3 ,47.9%,4.0%,219,0.1%,"219,269"
10,11,Omen,0.95, 14.6  /  15.3  /  7 ,46.0%,3.5%,201,0.1%,"191,440"
11,12,Viper,0.98, 14.5  /  14.8  /  5.7 ,48.6%,3.5%,202,0.1%,"191,371"
12,13,Gekko,0.93, 14  /  15  /  4.7 ,49.4%,3.0%,190,0.1%,"167,016"
13,14,Fade,0.95, 14.3  /  15  /  6.3 ,48.6%,2.9%,197,0.1%,"160,854"
14,15,Neon,1, 16.4  /  16.4  /  4.3 ,47.9%,2.5%,230,0.1%,"136,669"
15,16,KAY/O,0.91, 14.2  /  15.5  /  9 ,46.0%,2.5%,202,0.1%,"136,274"
16,17,Phoenix,1.11, 17  /  15.4  /  4.6 ,49.9%,2.4%,236,0.1%,"133,043"
17,18,Sova,0.96, 14.4  /  14.9  /  5.5 ,47.7%,1.2%,202,0.1%,"68,506"
18,19,Astra,1.02, 15  /  14.8  /  6.5 ,47.2%,1.1%,205,0.1%,"60,611"
19,20,Yoru,1, 15.6  /  15.7  /  4.5 ,46.2%,1.1%,216,0.1%,"58,075"
20,21,Harbor,0.9, 13.8  /  15.2  /  6.1 ,44.7%,0.8%,190,0.1%,"41,545"
