,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches 
0,1,Jett,1.1, 17.9  /  16.3  /  3.4 ,49.7%,22.7%,241,0.2%,"7,401"
1,2,Sova,1.04, 15.3  /  14.6  /  6.5 ,49.7%,17.3%,209,0.1%,"5,617"
2,3,Omen,1.03, 15.5  /  15  /  10.2 ,51.3%,14.7%,207,0.1%,"4,779"
3,4,Killjoy,1.07, 15.9  /  14.8  /  3.4 ,49.9%,13.4%,212,0.1%,"4,348"
4,5,Reyna,1.11, 17.6  /  15.9  /  4.4 ,52.6%,8.1%,237,0.2%,"2,629"
5,6,KAY/O,0.96, 15.1  /  15.7  /  10.5 ,48.5%,6.8%,210,0.1%,"2,202"
6,7,Cypher,1.03, 15.5  /  15.1  /  4.8 ,49.8%,2.3%,206,0.1%,739
7,8,Raze,1.04, 16.6  /  16  /  4.9 ,53.7%,2.2%,236,0.2%,704
8,9,Deadlock,1.11, 16.8  /  15.2  /  3.7 ,48.1%,2.1%,219,0.1%,688
9,10,Phoenix,1.11, 17.7  /  16  /  5 ,55.4%,2.0%,240,0.2%,666
10,11,Chamber,1.09, 17.1  /  15.7  /  2.3 ,46.5%,1.8%,223,0.2%,600
11,12,Fade,1.04, 15.5  /  14.9  /  8 ,56.3%,1.6%,215,0.1%,512
12,13,Astra,1.1, 16.6  /  15.1  /  8.9 ,52.8%,1.2%,215,0.1%,405
13,14,Yoru,1.1, 17.4  /  15.7  /  4.8 ,53.2%,1.2%,229,0.2%,378
14,15,Skye,0.95, 15.2  /  16  /  7.5 ,39.2%,0.9%,207,0.1%,288
15,16,Sage,1.06, 15.9  /  15.1  /  7 ,59.1%,0.9%,209,0.1%,286
16,17,Brimstone,1, 14.7  /  14.7  /  12.9 ,54.8%,0.7%,210,0.1%,228
17,18,Neon,1.05, 16.8  /  16  /  4.6 ,60.7%,0.3%,228,0.2%,89
18,19,Gekko,1.5, 21  /  14  /  8 ,100.0%,0.0%,269,0.1%,1
