,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches 
0,1,Sage,0.9, 13.1  /  14.6  /  6.8 ,50.2%,13.0%,187,0.1%,"46,677"
1,2,Reyna,1.19, 18.2  /  15.3  /  4.4 ,50.7%,12.4%,257,0.1%,"44,728"
2,3,Jett,1.13, 17.6  /  15.5  /  4 ,50.7%,9.8%,250,0.1%,"35,167"
3,4,Viper,1, 14.5  /  14.5  /  5.5 ,50.1%,8.7%,205,0.2%,"31,262"
4,5,Sova,0.98, 14.3  /  14.6  /  5.2 ,49.5%,7.2%,203,0.1%,"26,063"
5,6,Killjoy,0.98, 13.9  /  14.1  /  4 ,50.5%,6.6%,199,0.2%,"23,721"
6,7,Raze,1.05, 16.3  /  15.6  /  4.6 ,49.2%,6.3%,238,0.1%,"22,813"
7,8,Omen,0.99, 15.2  /  15.3  /  5.3 ,48.7%,5.8%,214,0.1%,"21,049"
8,9,KAY/O,0.92, 14  /  15.3  /  8.4 ,47.2%,3.9%,205,0.1%,"14,050"
9,10,Fade,0.95, 14.1  /  14.8  /  6.2 ,50.8%,3.5%,202,0.1%,"12,593"
10,11,Skye,0.92, 13.9  /  15.1  /  7.3 ,49.2%,3.4%,198,0.1%,"12,298"
11,12,Brimstone,0.96, 14.2  /  14.9  /  6.6 ,49.6%,3.3%,204,0.1%,"11,721"
12,13,Phoenix,1.1, 16.6  /  15.1  /  4.3 ,49.8%,3.2%,236,0.1%,"11,480"
13,14,Chamber,1.08, 15.8  /  14.6  /  3.2 ,48.4%,2.9%,219,0.1%,"10,613"
14,15,Neon,1.01, 16.2  /  16  /  4.2 ,48.5%,2.6%,233,0.1%,"9,268"
15,16,Yoru,1, 15.4  /  15.4  /  4 ,44.8%,2.0%,217,0.1%,"7,233"
16,17,Cypher,0.97, 14.1  /  14.5  /  4.7 ,47.4%,1.8%,197,0.1%,"6,484"
17,18,Breach,0.94, 14.4  /  15.2  /  5.6 ,49.1%,1.5%,205,0.1%,"5,534"
18,19,Harbor,0.91, 13.9  /  15.3  /  5.6 ,45.7%,1.4%,195,0.1%,"5,022"
19,20,Astra,1.04, 15  /  14.5  /  4.8 ,48.7%,0.7%,210,0.1%,"2,355"
