,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches 
0,1,Sage,0.93, 13.9  /  14.8  /  7.5 ,50.8%,12.0%,194,0.1%,"910,917"
1,2,Reyna,1.14, 17.8  /  15.6  /  4.5 ,50.0%,10.4%,247,0.1%,"793,396"
2,3,Jett,1.08, 17.3  /  16  /  3.9 ,48.9%,10.1%,241,0.1%,"766,487"
3,4,Omen,0.99, 15.1  /  15.2  /  7 ,49.1%,9.5%,208,0.1%,"726,242"
4,5,Raze,1.05, 16.8  /  15.9  /  4.9 ,50.1%,9.1%,244,0.1%,"694,383"
5,6,Skye,0.95, 14.2  /  15  /  7.8 ,49.5%,6.6%,198,0.1%,"499,420"
6,7,Killjoy,1, 14.4  /  14.4  /  3.9 ,49.5%,6.1%,202,0.1%,"467,840"
7,8,Cypher,1.01, 14.7  /  14.5  /  4.9 ,48.9%,5.0%,201,0.1%,"383,779"
8,9,Brimstone,0.97, 14.5  /  15  /  8.6 ,50.4%,4.8%,208,0.1%,"363,681"
9,10,Gekko,0.93, 14.1  /  15.1  /  4.7 ,49.4%,3.4%,194,0.1%,"259,409"
10,11,Phoenix,1.09, 16.9  /  15.5  /  4.7 ,49.5%,2.9%,238,0.1%,"219,689"
11,12,Chamber,1.07, 16.1  /  15  /  3.1 ,47.6%,2.7%,218,0.1%,"202,980"
12,13,KAY/O,0.91, 14.1  /  15.5  /  8.6 ,45.6%,2.6%,202,0.1%,"201,109"
13,14,Astra,1.04, 15.3  /  14.7  /  6.5 ,49.3%,2.5%,210,0.1%,"187,732"
14,15,Viper,0.99, 14.6  /  14.8  /  5.6 ,48.6%,2.5%,205,0.1%,"187,661"
15,16,Breach,0.94, 14.5  /  15.4  /  6.6 ,48.3%,2.4%,202,0.1%,"179,088"
16,17,Fade,0.94, 14.3  /  15.1  /  6.1 ,48.5%,2.3%,199,0.1%,"177,268"
17,18,Sova,0.97, 14.5  /  14.9  /  5.4 ,48.0%,2.3%,205,0.1%,"171,819"
18,19,Neon,0.97, 15.8  /  16.3  /  4.2 ,46.8%,1.2%,223,0.1%,"89,885"
19,20,Yoru,1, 15.6  /  15.6  /  4.6 ,46.4%,1.2%,218,0.1%,"89,801"
20,21,Harbor,0.91, 13.9  /  15.2  /  5.8 ,44.9%,0.5%,194,0.1%,"41,277"
