,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches ,Roles 
0,1,Jett,1.09, 17.4  /  16  /  3.7 ,49.0%,11.7%,239,0.1%,"642,813",Duelist
1,2,Omen,0.98, 14.8  /  15.2  /  7.3 ,49.0%,9.9%,203,0.1%,"545,437",Controller
2,3,Reyna,1.14, 17.8  /  15.6  /  4.4 ,49.7%,9.9%,245,0.1%,"543,503",Duelist
3,4,Raze,1.06, 16.8  /  15.9  /  4.9 ,50.2%,8.4%,243,0.1%,"466,085",Duelist
4,5,Killjoy,1.01, 14.6  /  14.4  /  3.6 ,50.0%,7.9%,200,0.1%,"434,165",Sentinel
5,6,Skye,0.94, 14.2  /  15.1  /  8.2 ,48.9%,6.4%,196,0.1%,"351,461",Initiator
6,7,Sage,0.92, 13.8  /  15  /  7.1 ,50.2%,5.8%,191,0.1%,"321,055",Sentinel
7,8,Gekko,0.94, 14.1  /  15.1  /  4.8 ,49.9%,5.8%,192,0.1%,"317,661",Initiator
8,9,Chamber,1.1, 16.4  /  15  /  2.9 ,48.9%,5.3%,220,0.1%,"291,448",Sentinel
9,10,Breach,0.93, 14.4  /  15.4  /  7.2 ,48.6%,4.7%,198,0.1%,"260,260",Initiator
10,11,Brimstone,0.96, 14.4  /  15  /  8.7 ,50.9%,3.8%,204,0.1%,"207,249",Controller
11,12,Cypher,1.0, 14.7  /  14.7  /  4.6 ,48.2%,2.8%,199,0.1%,"152,748",Sentinel
12,13,Phoenix,1.1, 17.1  /  15.5  /  4.7 ,50.3%,2.6%,238,0.1%,"145,296",Duelist
13,14,Fade,0.94, 14.3  /  15.1  /  6.5 ,48.8%,2.5%,197,0.1%,"139,083",Initiator
14,15,Harbor,0.92, 14  /  15.2  /  6.2 ,47.1%,2.3%,192,0.1%,"127,226",Controller
15,16,Astra,1.02, 15  /  14.7  /  6.4 ,49.6%,2.0%,204,0.1%,"112,708",Controller
16,17,KAY/O,0.91, 14.2  /  15.6  /  9.2 ,44.6%,2.0%,202,0.1%,"112,108",Initiator
17,18,Viper,1.01, 14.9  /  14.8  /  5.8 ,49.6%,2.0%,207,0.1%,"108,826",Controller
18,19,Sova,0.97, 14.5  /  14.9  /  5.6 ,47.9%,1.7%,204,0.1%,"96,143",Initiator
19,20,Neon,0.98, 16.1  /  16.5  /  4.3 ,47.1%,1.5%,226,0.1%,"84,619",Duelist
20,21,Yoru,0.99, 15.6  /  15.8  /  4.5 ,46.1%,1.0%,216,0.1%,"56,508",Duelist
