,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches ,Roles 
0,1,Jett,1.08, 17.3  /  16  /  3.7 ,49.7%,12.0%,238,0.1%,"12,472",Duelist
1,2,Reyna,1.13, 17.8  /  15.8  /  4.3 ,49.4%,9.8%,244,0.1%,"10,155",Duelist
2,3,Raze,1.07, 16.9  /  15.9  /  4.8 ,50.1%,9.4%,244,0.1%,"9,777",Duelist
3,4,Killjoy,1.03, 14.8  /  14.4  /  3.6 ,50.3%,8.4%,204,0.2%,"8,762",Sentinel
4,5,Omen,0.99, 15  /  15.1  /  7.2 ,50.2%,8.3%,205,0.1%,"8,634",Controller
5,6,Breach,0.95, 14.6  /  15.4  /  7.5 ,49.2%,7.9%,199,0.1%,"8,245",Initiator
6,7,Skye,0.96, 14.5  /  15  /  8 ,49.6%,5.5%,200,0.1%,"5,668",Initiator
7,8,Chamber,1.11, 16.6  /  15  /  2.8 ,49.7%,4.7%,222,0.1%,"4,901",Sentinel
8,9,Sage,0.95, 14.1  /  14.8  /  6.9 ,52.1%,4.6%,196,0.1%,"4,787",Sentinel
9,10,Fade,0.97, 14.6  /  15.1  /  6.5 ,49.9%,4.4%,200,0.1%,"4,519",Initiator
10,11,Cypher,1.01, 14.9  /  14.8  /  4.6 ,46.6%,3.6%,202,0.2%,"3,773",Sentinel
11,12,Harbor,0.95, 14.4  /  15.2  /  6.2 ,49.4%,3.4%,196,0.1%,"3,568",Controller
12,13,Brimstone,0.99, 14.7  /  14.9  /  8.6 ,52.9%,3.3%,207,0.1%,"3,405",Controller
13,14,Astra,1.03, 15.1  /  14.7  /  6.4 ,48.5%,3.0%,205,0.2%,"3,138",Controller
14,15,KAY/O,0.92, 14.6  /  15.8  /  9.7 ,46.2%,2.9%,205,0.1%,"3,045",Initiator
15,16,Phoenix,1.1, 17.4  /  15.8  /  4.8 ,50.3%,2.6%,238,0.1%,"2,665",Duelist
16,17,Sova,1.01, 14.9  /  14.8  /  5.7 ,48.3%,1.9%,207,0.2%,"1,928",Initiator
17,18,Neon,0.98, 16.2  /  16.5  /  4.2 ,47.2%,1.6%,226,0.1%,"1,704",Duelist
18,19,Viper,1.04, 15.1  /  14.5  /  5.6 ,47.9%,1.6%,210,0.2%,"1,688",Controller
19,20,Yoru,0.97, 15.3  /  15.8  /  4.4 ,45.5%,1.0%,212,0.1%,"1,051",Duelist
