,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches 
0,1,Jett,1.07, 17.4  /  16.2  /  3.6 ,49.1%,19.3%,236,0.1%,"133,503"
1,2,Sova,1.02, 14.8  /  14.6  /  6.5 ,49.9%,15.6%,205,0.1%,"107,772"
2,3,Omen,0.99, 14.9  /  15.1  /  10 ,48.6%,14.4%,203,0.1%,"99,902"
3,4,Killjoy,1.04, 15.2  /  14.6  /  3.5 ,49.4%,12.4%,205,0.1%,"86,078"
4,5,Reyna,1.1, 17.5  /  15.9  /  4.4 ,50.9%,8.9%,237,0.1%,"61,652"
5,6,KAY/O,0.93, 14.6  /  15.7  /  10.1 ,45.0%,5.7%,204,0.1%,"39,656"
6,7,Raze,1.02, 16.5  /  16.1  /  5 ,50.4%,3.4%,235,0.1%,"23,399"
7,8,Cypher,1.03, 15.1  /  14.7  /  5 ,50.5%,3.4%,201,0.1%,"23,375"
8,9,Phoenix,1.09, 17.3  /  15.8  /  5.1 ,51.8%,2.7%,237,0.1%,"19,046"
9,10,Brimstone,0.98, 14.7  /  14.9  /  11.4 ,53.7%,2.5%,207,0.1%,"17,358"
10,11,Chamber,1.07, 16.4  /  15.4  /  2.7 ,47.5%,2.4%,217,0.1%,"16,303"
11,12,Astra,1.04, 15.4  /  14.8  /  8.8 ,49.5%,2.1%,207,0.1%,"14,200"
12,13,Skye,0.96, 14.8  /  15.4  /  8 ,48.5%,1.9%,201,0.1%,"13,089"
13,14,Sage,1, 14.8  /  14.8  /  7.2 ,52.8%,1.9%,202,0.1%,"12,985"
14,15,Fade,0.99, 14.9  /  15.1  /  7.2 ,48.1%,1.3%,202,0.1%,"8,943"
15,16,Yoru,1.04, 16.5  /  15.8  /  4.8 ,50.7%,0.8%,223,0.1%,"5,478"
16,17,Gekko,0.94, 14.4  /  15.3  /  5 ,46.4%,0.5%,194,0.1%,"3,569"
17,18,Breach,0.93, 14.4  /  15.5  /  8 ,48.1%,0.4%,197,0.1%,"2,449"
18,19,Neon,0.94, 15.5  /  16.5  /  4.2 ,45.6%,0.3%,214,0.1%,"2,103"
19,20,Viper,1.01, 15.1  /  14.8  /  6.3 ,48.7%,0.2%,207,0.1%,"1,077"
20,21,Harbor,0.97, 14.9  /  15.4  /  6.9 ,47.8%,0.1%,201,694,
