,Rank ,Agent ,KD ,KDA ,Win % ,Pick % ,Avg. Score ,First Blood % ,Matches ,Roles 
0,1,Reyna,1.14, 17.8  /  15.6  /  4.6 ,50.3%,11.4%,248,0.1%,"997,524",Duelist
1,2,Jett,1.1, 17.4  /  15.8  /  3.8 ,49.5%,11.3%,243,0.1%,"995,521",Duelist
2,3,Killjoy,1.0, 14.2  /  14.2  /  3.9 ,49.6%,10.2%,200,0.1%,"897,952",Sentinel
3,4,Omen,0.98, 14.8  /  15.1  /  7.5 ,48.7%,9.8%,207,0.1%,"861,207",Controller
4,5,Sage,0.92, 13.5  /  14.8  /  7.1 ,49.9%,8.6%,190,0.1%,"752,410",Sentinel
5,6,Sova,1.02, 14.8  /  14.5  /  5.8 ,50.4%,7.4%,209,0.1%,"645,516",Initiator
6,7,Raze,1.04, 16.4  /  15.8  /  5.1 ,49.6%,6.0%,239,0.1%,"530,227",Duelist
7,8,Brimstone,0.97, 14.4  /  14.9  /  8.8 ,51.4%,5.7%,207,0.1%,"502,533",Controller
8,9,Skye,0.93, 14  /  15.1  /  7.8 ,48.7%,3.8%,197,0.1%,"330,362",Initiator
9,10,KAY/O,0.9, 13.9  /  15.4  /  8.4 ,46.0%,3.6%,200,0.1%,"316,737",Initiator
10,11,Phoenix,1.12, 17.1  /  15.3  /  4.8 ,50.7%,3.5%,242,0.1%,"309,757",Duelist
11,12,Gekko,0.92, 13.9  /  15.2  /  4.8 ,47.9%,2.8%,192,0.1%,"244,732",Initiator
12,13,Cypher,1.0, 14.4  /  14.4  /  5 ,49.0%,2.8%,198,0.1%,"243,533",Sentinel
13,14,Chamber,1.08, 16.2  /  14.9  /  3.1 ,48.6%,2.6%,221,0.1%,"231,963",Sentinel
14,15,Fade,0.94, 14.1  /  15  /  6.3 ,49.1%,2.4%,198,0.1%,"211,412",Initiator
15,16,Viper,0.98, 14.4  /  14.7  /  5.6 ,48.6%,1.8%,202,0.1%,"156,813",Controller
16,17,Breach,0.93, 14.3  /  15.4  /  6.4 ,48.0%,1.6%,201,0.1%,"143,638",Initiator
17,18,Astra,1.04, 15.2  /  14.6  /  6.9 ,50.1%,1.4%,209,0.1%,"125,223",Controller
18,19,Neon,0.97, 15.8  /  16.2  /  4.1 ,46.9%,1.4%,223,0.1%,"120,458",Duelist
19,20,Yoru,1.0, 15.6  /  15.5  /  4.5 ,45.9%,1.3%,217,0.1%,"111,759",Duelist
20,21,Harbor,0.9, 13.8  /  15.3  /  5.9 ,45.0%,0.5%,194,0.1%,"47,724",Controller
